"Product Code",Vendor,"Product Name","Service Name",Color,Tags,"Link Url",Stock,"Print Area","Freight Description","Individual Product Packaging","Standard Production Time",Size,"Quantity Break Point 1","Quantity Break Point Price 1","Quantity Break Point 2","Quantity Break Point Price 2","Quantity Break Point 3","Quantity Break Point Price 3","Quantity Break Point 4","Quantity Break Point Price 4",Brand,"Parent Product Code",Category,"Sub Category",Description,"Primary Price Description","Carton Height","Carton Width","Carton Depth","Carton Weight","Qty Per Carton","Carton Cubic","Carton Notes","Decoration Name0",decoration_additional_0_qty_0,decoration_additional_0_price_0,decoration_additional_0_qty_1,decoration_additional_0_price_1,"Decoration 0 Setup Notes","Decoration 0 Setup Cost 0"
100010144,"Superior AW","Adult Tie Dye T Shirt",Standard,Eternity,,,,,,,,L,1,10.85,16,10.2,101,10,,,Gildan,1000,,,"Tie Dye Garments",,,,,,,,,,,,,,,
100010144,"Superior AW","Adult Tie Dye T Shirt",Standard,Eternity,,,,,,,,XL,1,10.85,16,10.2,101,10,,,Gildan,1000,,,"Tie Dye Garments",,,,,,,,,,,,,,,
100010144,"Superior AW","Adult Tie Dye T Shirt",Standard,Eternity,,,,,,,,2XL,1,10.85,16,10.2,101,10,,,Gildan,1000,,,"Tie Dye Garments",,,,,,,,,,,,,,,
100010144,"Superior AW","Adult Tie Dye T Shirt",Standard,"Blue Jerry",,,,,,,,S,1,10.85,16,10.2,101,10,,,Gildan,1000,,,"Tie Dye Garments",,,,,,,,,,,,,,,
100010144,"Superior AW","Adult Tie Dye T Shirt",Standard,"Blue Jerry",,,,,,,,M,1,10.85,16,10.2,101,10,,,Gildan,1000,,,"Tie Dye Garments",,,,,,,,,,,,,,,
100010144,"Superior AW","Adult Tie Dye T Shirt",Standard,"Blue Jerry",,,,,,,,L,1,10.85,16,10.2,101,10,,,Gildan,1000,,,"Tie Dye Garments",,,,,,,,,,,,,,,
100010144,"Superior AW","Adult Tie Dye T Shirt",Standard,"Blue Jerry",,,,,,,,XL,1,10.85,16,10.2,101,10,,,Gildan,1000,,,"Tie Dye Garments",,,,,,,,,,,,,,,
100010144,"Superior AW","Adult Tie Dye T Shirt",Standard,"Blue Jerry",,,,,,,,2XL,1,10.85,16,10.2,101,10,,,Gildan,1000,,,"Tie Dye Garments",,,,,,,,,,,,,,,
100010144,"Superior AW","Adult Tie Dye T Shirt",Standard,"Reactive Rainbow",,,,,,,,S,1,10.85,16,10.2,101,10,,,Gildan,1000,,,"Tie Dye Garments",,,,,,,,,,,,,,,
100010144,"Superior AW","Adult Tie Dye T Shirt",Standard,"Reactive Rainbow",,,,,,,,M,1,10.85,16,10.2,101,10,,,Gildan,1000,,,"Tie Dye Garments",,,,,,,,,,,,,,,
100010144,"Superior AW","Adult Tie Dye T Shirt",Standard,"Reactive Rainbow",,,,,,,,L,1,10.85,16,10.2,101,10,,,Gildan,1000,,,"Tie Dye Garments",,,,,,,,,,,,,,,
100010144,"Superior AW","Adult Tie Dye T Shirt",Standard,"Reactive Rainbow",,,,,,,,XL,1,10.85,16,10.2,101,10,,,Gildan,1000,,,"Tie Dye Garments",,,,,,,,,,,,,,,
100010144,"Superior AW","Adult Tie Dye T Shirt",Standard,"Reactive Rainbow",,,,,,,,2XL,1,10.85,16,10.2,101,10,,,Gildan,1000,,,"Tie Dye Garments",,,,,,,,,,,,,,,
020009A2X0,"Superior AW","Gildan Ultra Cotton Adult T-Shirt",Standard,"Stone Blue",,,,,,,,2XL,1,5.25,16,4.6,101,4.4,,,Gildan,2000,,,"Seamless double needle 2.22 cm collar, Taped neck and shoulders, Double needle sleeve and bottom hem, Quarter-turned to eliminate centre crease, Tear away label",,,,,,,,,,,,,,,
020009A2X0,"Superior AW","Gildan Ultra Cotton Adult T-Shirt",Standard,"Stone Blue",,,,,,,,L,1,5.25,16,4.6,101,4.4,,,Gildan,2000,,,"Seamless double needle 2.22 cm collar, Taped neck and shoulders, Double needle sleeve and bottom hem, Quarter-turned to eliminate centre crease, Tear away label",,,,,,,,,,,,,,,
020009A2X0,"Superior AW","Gildan Ultra Cotton Adult T-Shirt",Standard,"Stone Blue",,,,,,,,M,1,5.25,16,4.6,101,4.4,,,Gildan,2000,,,"Seamless double needle 2.22 cm collar, Taped neck and shoulders, Double needle sleeve and bottom hem, Quarter-turned to eliminate centre crease, Tear away label",,,,,,,,,,,,,,,
020009A2X0,"Superior AW","Gildan Ultra Cotton Adult T-Shirt",Standard,"Stone Blue",,,,,,,,S,1,5.25,16,4.6,101,4.4,,,Gildan,2000,,,"Seamless double needle 2.22 cm collar, Taped neck and shoulders, Double needle sleeve and bottom hem, Quarter-turned to eliminate centre crease, Tear away label",,,,,,,,,,,,,,,
020009A2X0,"Superior AW","Gildan Ultra Cotton Adult T-Shirt",Standard,"Stone Blue",,,,,,,,XL,1,5.25,16,4.6,101,4.4,,,Gildan,2000,,,"Seamless double needle 2.22 cm collar, Taped neck and shoulders, Double needle sleeve and bottom hem, Quarter-turned to eliminate centre crease, Tear away label",,,,,,,,,,,,,,,
020009A2X0,"Superior AW","Gildan Ultra Cotton Adult T-Shirt",Standard,"Stone Blue",,,,,,,,3XL,1,5.6,16,4.95,101,4.95,,,Gildan,2000,,,"Seamless double needle 2.22 cm collar, Taped neck and shoulders, Double needle sleeve and bottom hem, Quarter-turned to eliminate centre crease, Tear away label",,,,,,,,,,,,,,,
020009A2X0,"Superior AW","Gildan Ultra Cotton Adult T-Shirt",Standard,"Cardinal Red",,,,,,,,2XL,1,5.25,16,4.6,101,4.4,,,Gildan,2000,,,"Seamless double needle 2.22 cm collar, Taped neck and shoulders, Double needle sleeve and bottom hem, Quarter-turned to eliminate centre crease, Tear away label",,,,,,,,,,,,,,,
020009A2X0,"Superior AW","Gildan Ultra Cotton Adult T-Shirt",Standard,"Cardinal Red",,,,,,,,L,1,5.25,16,4.6,101,4.4,,,Gildan,2000,,,"Seamless double needle 2.22 cm collar, Taped neck and shoulders, Double needle sleeve and bottom hem, Quarter-turned to eliminate centre crease, Tear away label",,,,,,,,,,,,,,,
020009A2X0,"Superior AW","Gildan Ultra Cotton Adult T-Shirt",Standard,"Cardinal Red",,,,,,,,M,1,5.25,16,4.6,101,4.4,,,Gildan,2000,,,"Seamless double needle 2.22 cm collar, Taped neck and shoulders, Double needle sleeve and bottom hem, Quarter-turned to eliminate centre crease, Tear away label",,,,,,,,,,,,,,,
020009A2X0,"Superior AW","Gildan Ultra Cotton Adult T-Shirt",Standard,"Cardinal Red",,,,,,,,S,1,5.25,16,4.6,101,4.4,,,Gildan,2000,,,"Seamless double needle 2.22 cm collar, Taped neck and shoulders, Double needle sleeve and bottom hem, Quarter-turned to eliminate centre crease, Tear away label",,,,,,,,,,,,,,,
020009A2X0,"Superior AW","Gildan Ultra Cotton Adult T-Shirt",Standard,"Cardinal Red",,,,,,,,XL,1,5.25,16,4.6,101,4.4,,,Gildan,2000,,,"Seamless double needle 2.22 cm collar, Taped neck and shoulders, Double needle sleeve and bottom hem, Quarter-turned to eliminate centre crease, Tear away label",,,,,,,,,,,,,,,
020009A2X0,"Superior AW","Gildan Ultra Cotton Adult T-Shirt",Standard,"Cardinal Red",,,,,,,,3XL,1,5.6,16,4.95,101,4.95,,,Gildan,2000,,,"Seamless double needle 2.22 cm collar, Taped neck and shoulders, Double needle sleeve and bottom hem, Quarter-turned to eliminate centre crease, Tear away label",,,,,,,,,,,,,,,
020009A2X0,"Superior AW","Gildan Ultra Cotton Adult T-Shirt",Standard,"Kelly Green",,,,,,,,2XL,1,5.25,16,4.6,101,4.4,,,Gildan,2000,,,"Seamless double needle 2.22 cm collar, Taped neck and shoulders, Double needle sleeve and bottom hem, Quarter-turned to eliminate centre crease, Tear away label",,,,,,,,,,,,,,,
020009A2X0,"Superior AW","Gildan Ultra Cotton Adult T-Shirt",Standard,"Kelly Green",,,,,,,,L,1,5.25,16,4.6,101,4.4,,,Gildan,2000,,,"Seamless double needle 2.22 cm collar, Taped neck and shoulders, Double needle sleeve and bottom hem, Quarter-turned to eliminate centre crease, Tear away label",,,,,,,,,,,,,,,
020009A2X0,"Superior AW","Gildan Ultra Cotton Adult T-Shirt",Standard,"Kelly Green",,,,,,,,M,1,5.25,16,4.6,101,4.4,,,Gildan,2000,,,"Seamless double needle 2.22 cm collar, Taped neck and shoulders, Double needle sleeve and bottom hem, Quarter-turned to eliminate centre crease, Tear away label",,,,,,,,,,,,,,,
020009A2X0,"Superior AW","Gildan Ultra Cotton Adult T-Shirt",Standard,"Kelly Green",,,,,,,,S,1,5.25,16,4.6,101,4.4,,,Gildan,2000,,,"Seamless double needle 2.22 cm collar, Taped neck and shoulders, Double needle sleeve and bottom hem, Quarter-turned to eliminate centre crease, Tear away label",,,,,,,,,,,,,,,
020009A2X0,"Superior AW","Gildan Ultra Cotton Adult T-Shirt",Standard,"Kelly Green",,,,,,,,XL,1,5.25,16,4.6,101,4.4,,,Gildan,2000,,,"Seamless double needle 2.22 cm collar, Taped neck and shoulders, Double needle sleeve and bottom hem, Quarter-turned to eliminate centre crease, Tear away label",,,,,,,,,,,,,,,
020009A2X0,"Superior AW","Gildan Ultra Cotton Adult T-Shirt",Standard,"Kelly Green",,,,,,,,3XL,1,5.6,16,4.95,101,4.95,,,Gildan,2000,,,"Seamless double needle 2.22 cm collar, Taped neck and shoulders, Double needle sleeve and bottom hem, Quarter-turned to eliminate centre crease, Tear away label",,,,,,,,,,,,,,,
020009A2X0,"Superior AW","Gildan Ultra Cotton Adult T-Shirt",Standard,"Light Pink",,,,,,,,2XL,1,5.25,16,4.6,101,4.4,,,Gildan,2000,,,"Seamless double needle 2.22 cm collar, Taped neck and shoulders, Double needle sleeve and bottom hem, Quarter-turned to eliminate centre crease, Tear away label",,,,,,,,,,,,,,,
020009A2X0,"Superior AW","Gildan Ultra Cotton Adult T-Shirt",Standard,"Light Pink",,,,,,,,L,1,5.25,16,4.6,101,4.4,,,Gildan,2000,,,"Seamless double needle 2.22 cm collar, Taped neck and shoulders, Double needle sleeve and bottom hem, Quarter-turned to eliminate centre crease, Tear away label",,,,,,,,,,,,,,,
020009A2X0,"Superior AW","Gildan Ultra Cotton Adult T-Shirt",Standard,"Light Pink",,,,,,,,M,1,5.25,16,4.6,101,4.4,,,Gildan,2000,,,"Seamless double needle 2.22 cm collar, Taped neck and shoulders, Double needle sleeve and bottom hem, Quarter-turned to eliminate centre crease, Tear away label",,,,,,,,,,,,,,,
020009A2X0,"Superior AW","Gildan Ultra Cotton Adult T-Shirt",Standard,"Light Pink",,,,,,,,S,1,5.25,16,4.6,101,4.4,,,Gildan,2000,,,"Seamless double needle 2.22 cm collar, Taped neck and shoulders, Double needle sleeve and bottom hem, Quarter-turned to eliminate centre crease, Tear away label",,,,,,,,,,,,,,,
020009A2X0,"Superior AW","Gildan Ultra Cotton Adult T-Shirt",Standard,"Light Pink",,,,,,,,XL,1,5.25,16,4.6,101,4.4,,,Gildan,2000,,,"Seamless double needle 2.22 cm collar, Taped neck and shoulders, Double needle sleeve and bottom hem, Quarter-turned to eliminate centre crease, Tear away label",,,,,,,,,,,,,,,
020009A2X0,"Superior AW","Gildan Ultra Cotton Adult T-Shirt",Standard,"Texas Orange",,,,,,,,2XL,1,5.25,16,4.6,101,4.4,,,Gildan,2000,,,"Seamless double needle 2.22 cm collar, Taped neck and shoulders, Double needle sleeve and bottom hem, Quarter-turned to eliminate centre crease, Tear away label",,,,,,,,,,,,,,,
020009A2X0,"Superior AW","Gildan Ultra Cotton Adult T-Shirt",Standard,"Texas Orange",,,,,,,,L,1,5.25,16,4.6,101,4.4,,,Gildan,2000,,,"Seamless double needle 2.22 cm collar, Taped neck and shoulders, Double needle sleeve and bottom hem, Quarter-turned to eliminate centre crease, Tear away label",,,,,,,,,,,,,,,
020009A2X0,"Superior AW","Gildan Ultra Cotton Adult T-Shirt",Standard,"Texas Orange",,,,,,,,M,1,5.25,16,4.6,101,4.4,,,Gildan,2000,,,"Seamless double needle 2.22 cm collar, Taped neck and shoulders, Double needle sleeve and bottom hem, Quarter-turned to eliminate centre crease, Tear away label",,,,,,,,,,,,,,,
020009A2X0,"Superior AW","Gildan Ultra Cotton Adult T-Shirt",Standard,"Texas Orange",,,,,,,,S,1,5.25,16,4.6,101,4.4,,,Gildan,2000,,,"Seamless double needle 2.22 cm collar, Taped neck and shoulders, Double needle sleeve and bottom hem, Quarter-turned to eliminate centre crease, Tear away label",,,,,,,,,,,,,,,
020009A2X0,"Superior AW","Gildan Ultra Cotton Adult T-Shirt",Standard,"Texas Orange",,,,,,,,XL,1,5.25,16,4.6,101,4.4,,,Gildan,2000,,,"Seamless double needle 2.22 cm collar, Taped neck and shoulders, Double needle sleeve and bottom hem, Quarter-turned to eliminate centre crease, Tear away label",,,,,,,,,,,,,,,
